12.03.2017.10.18.43 IP: 192.168.1.110 CYBER buy_npc,npc:Evolucao price:5250 item: Poeira_de_Fada : 4142.61.255.0.0.0.0 
12.03.2017.10.18.47 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:1 
12.03.2017.10.18.47 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:2 
12.03.2017.10.18.47 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:2 
12.03.2017.10.18.47 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:2 
12.03.2017.10.18.57 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:3 
12.03.2017.10.18.57 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:3 
12.03.2017.10.18.57 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:3 
12.03.2017.10.18.57 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:4 
12.03.2017.10.18.58 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:5 
12.03.2017.10.18.58 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:5 
12.03.2017.10.18.58 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:5 
12.03.2017.10.18.58 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:5 
12.03.2017.10.18.59 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:5 
12.03.2017.10.18.59 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:5 
12.03.2017.10.18.59 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:5 
12.03.2017.10.19.00 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:6 
12.03.2017.10.19.00 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:7 
12.03.2017.10.19.00 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:8 
12.03.2017.10.19.00 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:8 
12.03.2017.10.19.01 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:8 
12.03.2017.10.19.01 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:9 
12.03.2017.10.19.01 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:9 
12.03.2017.10.19.01 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:10 
12.03.2017.10.19.02 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:10 
12.03.2017.10.19.02 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:11 
12.03.2017.10.19.02 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:11 
12.03.2017.10.19.02 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:11 
12.03.2017.10.19.03 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:12 
12.03.2017.10.19.10 IP: 192.168.1.110 CYBER useitem,poeira_de_fada classmaster:2 level:13 
